"","Isopods.Weight_g","Amphipods.Weight_g","Bivalves.Weight_g","Oligochaets.Weight_g","Chironomid.Weight_g","Mysid.Weight_g","Nematodes.Weight_g"
"HBWF_18",0.0133132378799297,0.0281982977064518,0.043188202247191,0,0,0,0
"HBWF_12",0,0.00162432590474953,0,0,0,0,0
"HBWF_19",0,0,0.00175561797752809,0,0,0,0
"HBWF_11",0.192665159507661,0.00636735754661815,0,0,0,0,0
"HBWF_5",0.0211002260738508,0.00409330127996881,0.0481039325842697,0,0,0,0
"HBWF_13",1,0.00409330127996881,0,0,0,0,0
"HBWF_6",0.213514192413966,0.0217009940874537,0.0217696629213483,0,0,0,0
"HBWF_33",0.030394373273047,0,0,0,0,0,0
"HBWF_23",0.0507410198442602,0.055032161652914,0,0,0,0,0
"HBWF_37",0.316754584275308,0,0,0,0,0,0
"HBWF_31",0.182366239638282,0.0182574231693847,0.102176966292135,0,0,0,0
"HBWF_32",0.260989701080131,0.0273536482359821,0,0,0,0,0
"HBWF_35",0.133885958301934,0,0,0,0,0,0
"HBWF_26",0.027128862094951,0,0,0,0,0,0
"BDWF_32",0,0.000194919108569943,0,0.0186440677966102,0,0,0
"BDWF_10",0,0,0,0.0491525423728814,0,0,0
"ARCS_8",0,0.00948606328373725,0,0,0,0,0
"HBWF_100",0.0841497111278573,0.00142940679617959,0,0,0,0,0
"BDWF_89",0,0,0,0.0210169491525424,0,0,0
"BDWF_94",0,0,0,0.00338983050847458,0,0,0
"BDWF_95",0,0,0,0.843389830508474,0,0,0
"HBWF_98",0,0,0,1,0,0,0
"BDWF_92",0,0,0,0.0932203389830508,0,0,0
"HBWF_92",0.036674202461693,0.0120200116951465,0,0,0,0,0
"BDWF_83",0,0,1,0,0,0,0
"HBWF_94",0,0.020856344616984,0,0,0,0,0
"LSCS_118",0,0.0217009940874537,0,0,0,0,0
"HBWF_93",0.248178849535293,0,0,0,0,0,0
"LSCS_69",0.0231097714142175,0,0,0,0,0,0
"HBWF_61",0,0.00155935286855955,0,0,0,0,0
"ARCS_51",0,0.0281982977064518,0,0,0,0,0
"LSCS_162",0.0150715900527506,0.00630238451042817,0,0,0,0,0
"ARCS_145",0,0.00350854395425898,0,0,0,0,0
"LSCS_159",0,0.0192969917484244,0,0.00305084745762712,0,0,0
"ARCS_30",0.00200954534036674,0.00422324735234878,0,0,0,0,0
"LSCS_108",0.00904295403165034,0.00201416412188942,0,0,0,0,0
"BDWF_124",0,0.00435319342472874,0,0,0,0,0
"HBWF_109",0,0.0196868299655643,0,0,0,0,0
"HBWF_110",0,0.0177376388798649,0,0,0,0,0
"BDWF_66",0,0,0,0.0166101694915254,0,0,0
"HBWF_81",0,0,0,0.0135593220338983,0,0,0
"HBWF_83",0,0,0,0.00610169491525424,0,0,0
"BDWF_70",0,0,0,0.0213559322033898,0,0,0
"LSCS_152",0,0.020661425508414,0,0,0,0,0
"LSCS_154",0,0.000324865180949906,0,0,0,0,0
"LSCS_156",0,0.0176726658436749,0,0,0,0,0
"LSCS_155",0,0.0146189331427458,0,0,0,0,0
"ARCS_142",0,0.0597751932947827,0,0,0,0,0
"BDWF_146",0,6.49730361899812e-05,0,0.00644067796610169,0,0,0
"ARCS_139",0.0283848279326802,0.010395685790397,0,0,0,0,0
"ARCS_140",0.00251193167545843,0.00909622506659736,0,0,0,0,0
"ARCS_141",0,0.0473003703463063,0,0,0,0,0
"LSCS_148",0.00803818136146697,0.0089662789942174,0,0,0,0,0
"LSCS_151",0.00125596583772921,0.0606198427652524,0,0,1,0,0
"LSCS_150",0,0.00487297771424859,0,0,0,0,0
"ARCS_134",0.00125596583772921,0.00389838217139887,0,0,0,0,0
"ARCS_135",0,0.000519784289519849,0,0,0.00644783118405627,0.0893854748603352,0
"LSCS_71",0,0.0135143915275161,0,0,0,0,0
"LSCS_73",0.00477267018337101,0.00402832824377883,0,0,0.00527549824150059,0.541899441340782,0
"LSCS_76",0.0389349409696056,0.0456110714053668,0,0,0,0,0
"HBWF_63",0.00577744285355438,0.00142940679617959,0,0,0,0.0335195530726257,0
"LSCS_72",0.0753579502637528,0.0318367877330908,0,0,0,0,0
"ARCS_130",0,0,0,0,0,0.0167597765363128,0
"BDWF_56",0,0,0,0,0.00117233294255569,0,0.303137254901961
