Sample_ID,Species,Group,FL,Acoustic,C,N,PercentC,AdjC,BulkTP,Locality,Year,CCSIA_TP,DispDist_km,DispDirect,N_Glu
40538,GT,1,75,32634,-16.22055433,14.2836662,47.7,-15.52025386,4.2,MOZ,2016,3.710964912,,,
40540,GT,1,69.4,22808,-15.78667567,13.46986972,41.7,-15.78667567,3.96,MOZ,2016,4.074210526,339,S,
40541,GT,1,98.4,22809,-21.98858826,12.5206065,56.2,-16.36959383,3.68,MOZ,2016,4.318070175,,,
40542,GT,1,69,22810,-16.17461424,13.54357956,45.2,-16.17461424,3.98,MOZ,2016,4.445614035,,,
40543,GT,1,66.5,22811,-16.87596633,14.45100747,46.2,-16.43752368,4.25,MOZ,2016,4.434824561,239,S,
40544,GT,1,71,22812,-16.48190242,15.07455288,44.7,-16.080915,4.43,MOZ,2016,4.169649123,,,
40545,GT,1,94,59089,-18.13880845,13.0355793,46.9,-17.57891418,3.84,MOZ,2016,4.349473684,132,S,
40546,GT,1,67,,-18.2235424,14.39522705,50.1,-17.06081878,4.24,MOZ,2016,4.395847953,,,
40547,GT,1,64.5,,-16.91373929,15.35843537,46.3,-16.57467162,4.52,MOZ,2016,4.207719298,,,
40635,GT,1,75,,-16.93926157,13.20690488,45.8,-16.93926157,3.89,MOZ,2017,4.199210526,,,
40636,GT,1,74.5,,-17.57527664,12.74970465,45.9,-17.57527664,3.75,MOZ,2017,4.354385965,,,
40637,GT,1,76,,-17.30576142,13.01665381,47.8,-17.30576142,3.83,MOZ,2017,4.281929825,,,
40638,GT,1,88,,-17.18529629,14.56954086,48.8,-16.80619321,4.29,MOZ,2017,4.361345029,,,
JRG15-253,GT,1,67,6620,-17.69674825,14.58867997,46.07,-16.23794525,4.98,MOZ,2015,3.954093567,329,S,
JRG15-258,GT,1,87,6622,-16.67988583,14.68217074,47.39,-16.38225817,5.01,MOZ,2015,3.987719298,11,N,
JRG15-259A,GT,1,NA,,-16.91681477,13.03251107,44.14,-16.91681477,4.52,MOZ,2015,4.118011696,,,
JRG15-261,GT,1,98,6623,-15.93147509,12.13379337,44.79,-15.5018805,4.26,MOZ,2015,NA,,,
JRG15-262,GT,1,94,6624,-16.30771418,13.69699921,41.88,-16.30771418,4.72,MOZ,2015,4.305789474,,,
JRG15-263,GT,1,79,23665,-18.06078499,13.57133958,47.19,-17.32247418,4.68,MOZ,2015,4.723508772,,,
JRG15-264,GT,1,82,23666,-18.78275731,13.90710212,47.33,-17.9858512,4.78,MOZ,2015,4.192017544,633,S,
JRG15-265,GT,1,67,24431,-17.43948205,12.98023666,48.75,-17.11463971,4.51,MOZ,2015,4.21245614,11,N,
40055,BT,2,56.7,,-15.783613,13.8961915,45.5,-15.783613,4.13,MAHE,2017,3.81377193,,,
40056,BT,2,59.5,,-16.01025079,14.07050531,45.3,-16.01025079,4.18,MAHE,2017,3.911578947,,,
40058,GT,2,110.5,,-15.072052,13.95496016,42.7,-15.072052,4.15,MAHE,2017,3.867719298,,,
40074,BT,2,42,,-15.92653773,14.53866241,45,-15.92653773,4.32,MAHE,2017,3.699385965,,,
40077,GT,2,83,,-19.05352675,14.14321908,52.3,-17.32268514,4.2,MAHE,2017,4.085789474,,,
40650,GT,2,28,,-12.32075086,14.02468568,43.5,-12.32075086,4.17,MAHE,2018,3.52122807,,,
40654,GT,2,27,,-12.61476746,13.89718758,44.2,-12.61476746,4.13,MAHE,2018,3.410614035,,,
40655,GT,2,25.5,,NA,NA,NA,NA,,MAHE,2018,3.605087719,,,
40729,GT,2,94,,-18.23170952,14.9171724,50.3,-17.4947114,4.43,MAHE,2018,4.073859649,,,
40730,GT,2,105,,-19.3863372,14.67213699,54.4,-17.25515443,4.36,MAHE,2018,3.817105263,,,
JRG15-353,GT,2,47.3,,-16.55176116,14.85708895,45.58,-16.30373918,4.64,MAHE,2016,4.259122807,,,
JRG15-354,GT,2,40.4,,-16.92189908,14.65201243,49.57,-16.27867815,4.67,MAHE,2016,3.820877193,,,
