species,ID,date_collected,date_processed,net_ID,length_mm,weight_g,weight_kg,gear_type,general_sample_notes
ARCS,01,16-Jul-2021,20-Jul-2021,220,340,NA,0.41,gill,
ARCS,02,16-Jul-2021,20-Jul-2021,220,250,NA,0.15,gill,
ARCS,03,16-Jul-2021,20-Jul-2021,220,266,NA,0.19,gill,
ARCS,04,16-Jul-2021,20-Jul-2021,220,347,NA,0.45,gill,
ARCS,05,21-Jul-2021,27-Jul-2021,220,259,NA,0.17,gill,
ARCS,06,25-Jul-2021,30-Jul-2021,220,338,NA,0.57,gill,
ARCS,07,28-Jul-2021,30-Jul-2021,220,242,NA,0.16,gill,
ARCS,08,28-Jul-2021,30-Jul-2021,220,344,NA,0.52,gill,
ARCS,09,28-Jul-2021,30-Jul-2021,220,273,NA,0.20,gill,
ARCS,10,18-Jul-2021,03-Aug-2021,220,340,NA,0.53,gill,
ARCS,11,25-Jul-2021,03-Aug-2021,220,319,NA,0.36,gill,
ARCS,12,25-Jul-2021,03-Aug-2021,220,338,NA,0.48,gill,
ARCS,13,25-Jul-2021,03-Aug-2021,220,339,NA,0.56,gill,
ARCS,14,25-Jul-2021,03-Aug-2021,220,361,NA,0.66,gill,
ARCS,15,16-Jul-2022,24-Jul-2022,230,359,503.00,0.503,gill,
ARCS,16,17-Jul-2022,24-Jul-2022,220,285,209.92,0.20992,gill,
ARCS,17,17-Jul-2022,24-Jul-2022,220,304,299.34,0.29934,gill,
ARCS,18,17-Jul-2022,24-Jul-2022,220,288,246.12,0.24612,gill,
ARCS,19,17-Jul-2022,24-Jul-2022,220,341,494.95,0.49495,gill,
ARCS,20,17-Jul-2022,24-Jul-2022,220,331,397.71,0.39771,gill,
ARCS,21,22-Jul-2022,27-Jul-2022,220,295,277.75,0.27775,gill,
ARCS,22,22-Jul-2022,27-Jul-2022,220,271,203.18,0.20318,gill,
ARCS,23,22-Jul-2022,27-Jul-2022,220,288,234.46,0.23446,gill,
ARCS,24,22-Jul-2022,27-Jul-2022,220,276,175.08,0.17508,gill,
ARCS,25,22-Jul-2022,27-Jul-2022,220,290,256.92,0.25692,gill,
ARCS,26,22-Jul-2022,27-Jul-2022,220,275,177.38,0.17738,gill,
ARCS,27,09-Jul-2022,31-Jul-2022,230,267,214.04,0.21404,gill,
ARCS,28,09-Jul-2022,31-Jul-2022,230,304,299.73,0.29973,gill,
ARCS,29,09-Jul-2022,31-Jul-2022,230,273,207.10,0.2071,gill,
ARCS,30,23-Jul-2022,31-Jul-2022,220,282,250.64,0.25064,gill,
ARCS,31,23-Jul-2022,31-Jul-2022,220,289,252.79,0.25279,gill,
ARCS,32,23-Jul-2022,31-Jul-2022,220,277,231.99,0.23199,gill,
