species,ID,layer,laminae,data_sheet_ID,well_ID,tray_ID,Sample Name,Sample Wt.,N Signal,C Signal,Conc N,Conc C,d15N,d13C
HBWF,38,1,7,A01,C5,eyeball01,A01,0.407,0.98,3.8,16.96,51.76,10.1,-22.33
HBWF,38,2,6,A02,C6,eyeball01,A02,0.552,1.35,5.17,17.29,51.93,10.42,-22.05
HBWF,38,3,5,A03,C7,eyeball01,A03,0.514,1.26,4.79,17.31,51.67,9.98,-22.96
HBWF,38,4,4,A04,C8,eyeball01,A04,0.5,1.23,4.68,17.44,51.89,10.1,-24.63
HBWF,38,5,3,A05,C9,eyeball01,A05,0.562,1.39,5.23,17.47,51.68,8.92,-22.85
HBWF,38,6,2,A06,C10,eyeball01,A06,0.571,1.41,5.32,17.49,51.74,8.71,-24.05
HBWF,38,7,1,A07,C11,eyeball01,A07,0.121,0.28,1.12,16.43,51.23,5.99,-24.6
HBWF,38,8,0,A08,C12,eyeball01,A08,0.105,0.25,0.98,16.98,51.9,7.06,-28.92
HBWF,32,1,4,A09,B1,eyeball01,A09,0.464,1.15,4.46,17.58,53.37,10.88,-22.69
HBWF,32,2,3,A10,B2,eyeball01,A10,0.344,0.85,3.24,17.42,52.19,10.62,-23.35
HBWF,32,3,2,A11,B4,eyeball01,A11,0.71,1.77,6.66,17.65,52.02,10.89,-23.7
HBWF,32,4,1,A12,B5,eyeball01,A12,0.467,1.16,4.4,17.63,52.31,9.19,-23.32
HBWF,32,5,0,A13,B6,eyeball01,A13,0.493,1.22,4.6,17.49,51.74,8.8,-23.97
LSCS,41,1,5,A14,B7,eyeball01,A14,0.66,1.65,6.27,17.63,52.73,12.74,-23.42
LSCS,41,2,4,A15,B8,eyeball01,A15,0.36,0.88,3.35,17.23,51.64,11.93,-23.41
LSCS,41,3,3,A16,B9,eyeball01,A16,0.55,1.35,5.15,17.38,51.96,12.34,-23.24
LSCS,41,4,2,A17,B10,eyeball01,A17,0.675,1.65,6.22,17.26,51.11,10.29,-23.77
LSCS,41,5,1,A18,B11,eyeball01,A18,0.391,0.94,3.58,16.99,50.8,9.28,-25.07
LSCS,41,6,0,A19,B12,eyeball01,A19,0.484,1.17,4.42,17.08,50.7,7.28,-25.53
LSCS,39,1,4,A20,C1,eyeball01,A20,0.577,1.39,5.3,16.98,50.96,12.54,-23.2
LSCS,39,2,3,A21,C4,eyeball01,A21,0.611,1.51,5.66,17.46,51.44,10.79,-22.56
LSCS,39,3,2,A22,C5,eyeball01,A22,0.279,0.68,2.58,17.16,51.38,11.81,-23.53
LSCS,39,4,1,A23,C6,eyeball01,A23,0.17,0.4,1.55,16.64,50.43,9.81,-24.06
LSCS,39,5,0,A24,C7,eyeball01,A24,0.169,0.4,1.56,16.87,51.16,9.25,-25.97
HBWF,36,1,7,A25,C8,eyeball01,A25,0.329,0.79,3.1,16.94,52.32,11.57,-22.03
HBWF,36,2,6,A26,C9,eyeball01,A26,0.466,1.14,4.37,17.23,52.01,11.02,-22.67
HBWF,36,3,5,A27,C10,eyeball01,A27,0.521,1.28,4.86,17.35,51.8,10.71,-23.75
HBWF,36,4,4,A28,C11,eyeball01,A28,0.318,0.71,2.74,15.82,47.76,9.58,-23.32
HBWF,36,5,3,A29,C12,eyeball01,A29,0.435,1.05,3.98,17.03,50.81,8.76,-22.34
HBWF,36,6,2,A30,D1,eyeball01,A30,0.611,1.48,5.55,17.09,50.44,8.56,-22.86
HBWF,36,7,1,A31,D3,eyeball01,A31,0.262,0.64,2.44,17.25,51.72,6.95,-23.32
HBWF,36,8,0,A32,D4,eyeball01,A32,0.098,0.23,0.89,16.46,50.4,5.78,-22.68
HBWF,39,1,10,A33,D5,eyeball01,A33,0.424,1.03,4.01,17.22,52.46,11.64,-22.23
HBWF,39,2,9,A34,D6,eyeball01,A34,0.343,0.83,3.23,17.03,52.29,11.53,-22.07
HBWF,39,3,8,A35,D7,eyeball01,A35,0.404,0.98,3.76,17.16,51.62,11.12,-22.42
HBWF,39,4,7,A36,D8,eyeball01,A36,0.399,0.96,3.66,16.98,50.96,11.35,-22
HBWF,39,5,6,A37,D9,eyeball01,A37,0.662,1.37,5.2,14.68,43.57,9.2,-23.57
HBWF,39,6,5,A38,D10,eyeball01,A38,0.347,0.84,3.21,17.1,51.27,9.16,-20.6
HBWF,39,7,4,A39,D11,eyeball01,A39,0.332,0.79,3,16.77,50.16,10.73,-22.39
HBWF,39,8,3,A40,D12,eyeball01,A40,0.352,0.85,3.21,17.08,50.61,8.68,-23.53
HBWF,39,9,2,A41,E3,eyeball01,A41,0.129,0.31,1.19,16.89,51.11,7.9,-24.07
HBWF,39,10,1,A42,E4,eyeball01,A42,0.029,0.06,0.26,15.37,49.56,6.77,-22.21
HBWF,39,11,0,A43,E5,eyeball01,A43,0.1,0.23,0.91,16.55,50.5,7.98,-21.28
HBWF,37,1,6,A44,E6,eyeball01,A44,0.572,1.37,5.23,16.9,50.77,11.29,-21.78
HBWF,37,2,5,A45,E7,eyeball01,A45,0.292,0.75,2.86,18.07,54.43,11.85,-23.16
HBWF,37,3,4,A46,E8,eyeball01,A46,0.325,0.79,2.99,17.09,51.11,11.09,-23.43
HBWF,37,4,3,A47,E9,eyeball01,A47,0.304,0.75,2.87,17.47,52.39,11.39,-23.41
HBWF,37,5,2,A48,E10,eyeball01,A48,0.404,0.98,3.69,17.07,50.7,10.11,-22.97
HBWF,37,6,1,A49,E11,eyeball01,A49,0.368,0.88,3.35,16.95,50.46,10.61,-23.18
HBWF,37,7,0,A50,E12,eyeball01,A50,0.488,1.17,4.4,16.96,50.01,8.32,-22.45
HBWF,34,1,5,A51,F2,eyeball01,A51,0.315,0.76,2.95,17.11,52.01,10.69,-21.96
HBWF,34,2,4,A52,F3,eyeball01,A52,0.47,1.14,4.34,17.1,51.2,9.72,-21.71
HBWF,34,3,3,A53,F4,eyeball01,A53,0.592,1.44,5.43,17.23,50.89,10.16,-21.77
HBWF,34,4,2,A54,F5,eyeball01,A54,0.411,1,3.8,17.28,51.28,8.61,-23.01
HBWF,34,5,1,A55,F6,eyeball01,A55,0.286,0.7,2.65,17.26,51.42,7.95,-23.52
HBWF,34,6,0,A56,F7,eyeball01,A56,0.585,1.42,5.3,17.12,50.24,7.96,-24.11
HBWF,31,1,6,A57,F8,eyeball01,A57,0.37,0.88,3.43,16.9,51.42,11.33,-23.14
HBWF,31,2,5,A58,F9,eyeball01,A58,0.329,0.8,3.06,17.2,51.56,10.82,-23.32
HBWF,31,3,4,A59,F10,eyeball01,A59,0.304,0.73,2.8,17.06,51.06,9.7,-23.22
HBWF,31,4,3,A60,F11,eyeball01,A60,0.374,0.91,3.43,17.15,50.82,8.5,-28.98
HBWF,31,5,2,A61,G2,eyeball01,A61,0.261,0.63,2.36,16.99,50.16,5.74,-29.3
HBWF,31,6,1,A62,G3,eyeball01,A62,0.472,1.15,4.26,17.17,50.13,3.76,-29.33
HBWF,31,7,0,A63,G4,eyeball01,A63,0.326,0.78,2.9,16.97,49.37,5.4,-29.15
LSCS,43,1,8,A64,G5,eyeball01,A64,0.649,1.6,5.97,17.38,51.06,12,-22.49
LSCS,43,2,7,A65,G6,eyeball01,A65,0.323,0.8,2.96,17.45,50.87,11.42,-22.24
LSCS,43,3,6,A66,G7,eyeball01,A66,0.56,1.38,5.05,17.47,50.01,9.84,-24.39
LSCS,43,4,5,A67,G8,eyeball01,A67,0.365,0.89,3.32,17.27,50.4,10.79,-24.01
LSCS,43,5,4,A68,G9,eyeball01,A68,0.343,0.83,3.11,17.1,50.25,9.98,-22.93
LSCS,43,6,3,A69,G10,eyeball01,A69,0.217,0.53,1.97,17.15,50.48,8.51,-27.34
LSCS,43,7,2,A70,G11,eyeball01,A70,0.205,0.48,1.8,16.42,48.62,6.78,-33.41
LSCS,43,8,1,A71,H1,eyeball01,A71,,,,,,,
LSCS,43,9,0,A72,H2,eyeball01,A72,0.058,0.13,0.5,16.1,47.74,4.76,-33.12
BDWF,40,1,9,A73,H3,eyeball01,A73,,,,,,,
BDWF,40,2,8,A74,H4,eyeball01,A74,,,,,,,
BDWF,40,3,7,A75,H5,eyeball01,A75,0.669,1.61,6.01,17.05,49.84,8.32,-22.29
BDWF,40,4,6,A76,H6,eyeball01,A76,0.648,1.53,5.72,16.75,48.99,7.76,-22.66
BDWF,40,5,5,A77,H7,eyeball01,A77,0.231,0.55,2.08,16.9,49.99,6.67,-22.11
BDWF,40,6,4,A78,H8,eyeball01,A78,0.05,0.13,0.48,18.39,53.5,3.97,-21.98
BDWF,40,7,3,A79,H9,eyeball01,A79,0.16,0.36,1.37,16.05,47.34,5.81,-21.89
BDWF,40,8,2,A80,H10,eyeball01,A80,0.07,0.16,0.62,16.37,49.39,5.35,-22
BDWF,40,9,1,,,,,,,,,,,
BDWF,40,10,0,,,,,,,,,,,
