Photo_ID,Magnification,Conversion_factor,Measurement_pixels,Measurement_um
ARCS_01_,1.61,3.378378378,657.4382,2221.075
ARCS_01_01,1.61,3.378378378,684.2953,2311.808446
ARCS_01_02,1.61,3.378378378,650.5444,2197.785135
ARCS_01_03,1.61,3.378378378,580.9484,1962.663514
ARCS_01_04,1.61,3.378378378,566.7027,1914.536149
ARCS_01_05,1.61,3.378378378,515.7402,1742.365541
ARCS_01_06,1.61,3.378378378,462.623,1562.915541
ARCS_01_07,1.61,3.378378378,434.3109,1467.266554
ARCS_01_08,1.61,3.378378378,424.9227,1435.549662
ARCS_01_09,1.61,3.378378378,428.0491,1446.111824
ARCS_01_10,1.61,3.378378378,251.6029,850.0097973
ARCS_01-2_,1.61,3.4004159,806.0397,2740.870212
ARCS_01-2_01,1.61,3.4004159,622.0651,2115.280057
ARCS_01-2_02,1.61,3.4004159,567.1014,1928.380617
ARCS_01-2_03,1.61,3.4004159,563.7987,1917.150064
ARCS_01-2_04,1.61,3.4004159,463.6,1576.432811
ARCS_01-2_05,1.61,3.4004159,385.8614,1312.08924
ARCS_01-2_06,1.61,3.4004159,302.6549,1029.152534
ARCS_01-2_07,1.61,3.4004159,247.1295,840.3430812
ARCS_01-2_08,1.61,3.4004159,178.0899,605.5797276
ARCS_02_,1.61,3.378378378,524.0468,1770.428378
ARCS_02_01,1.61,3.378378378,544.1838,1838.458784
ARCS_02_02,1.61,3.378378378,336.1622,1135.683108
ARCS_02_03,1.61,3.378378378,336.6898,1137.465541
ARCS_02_04,1.61,3.378378378,73.38937,247.9370608
ARCS_02-2_,1.61,3.4004159,612.6989,2083.431081
ARCS_02-2_01,1.61,3.4004159,514.4638,1749.390885
ARCS_02-2_02,1.61,3.4004159,591.5311,2011.451758
ARCS_02-2_03,1.61,3.4004159,565.4538,1922.778092
ARCS_02-2_04,1.61,3.4004159,461.6081,1569.659523
ARCS_02-2_05,1.61,3.4004159,265.1886,901.7515319
ARCS_02-2_06,1.61,3.4004159,151.0927,513.7780195
ARCS_03_,1.61,3.378378378,705.5246,2383.529054
ARCS_03_01,1.61,3.378378378,626.7184,2117.291892
ARCS_03_02,1.61,3.378378378,472.4712,1596.186486
ARCS_03_03,1.61,3.378378378,334.7626,1130.95473
ARCS_03_04,1.61,3.378378378,263.304,889.5405405
ARCS_03_05,1.61,3.378378378,284.0158,959.5128378
ARCS_03_07,1.61,3.378378378,232.0022,783.7912162
ARCS_03_08,1.61,3.378378378,162.0278,547.3912162
ARCS_03_09,1.61,3.378378378,212.3488,717.3945946
ARCS_03_10,1.61,3.378378378,185.2377,625.8030405
ARCS_03-2_,1.61,3.4004159,621.7668,2114.265713
ARCS_03-2_01,1.61,3.4004159,503.2395,1711.223597
ARCS_03-2_02,1.61,3.4004159,395.4554,1344.71283
ARCS_03-2_03,1.61,3.4004159,265.4242,902.5526699
ARCS_03-2_04,1.61,3.4004159,221.5626,753.4049879
ARCS_05_,1.61,3.378378378,373.9572,1263.368919
ARCS_05_01,1.61,3.378378378,388.0464,1310.967568
ARCS_05_02,1.61,3.378378378,98,331.0810811
ARCS_05-2_,1.61,3.396197,674.5339,2290.850008
ARCS_05-2_01,1.61,3.396197,533.926,1813.317879
ARCS_05-2_02,1.61,3.396197,488.6113,1659.420231
ARCS_05-2_03,1.61,3.396197,457.2319,1552.849607
ARCS_05-2_04,1.61,3.396197,353.051,1199.030747
ARCS_05-2_05,1.61,3.396197,285.3945,969.2559447
ARCS_05-2_06,1.61,3.396197,212.059,720.1941396
ARCS_06_01,1.61,3.378378378,796.99,2692.533784
ARCS_06_02,1.61,3.378378378,646.0379,2182.560473
ARCS_06_03,1.61,3.378378378,500.2379,1689.992905
ARCS_06_04,1.61,3.378378378,490.6577,1657.627365
ARCS_06_05,1.61,3.378378378,481.5652,1626.909459
ARCS_06_06,1.61,3.378378378,251.5432,849.8081081
ARCS_06_08,1.61,3.378378378,264.2726,892.8128378
ARCS_06-2_,1.61,3.396197,757.2001,2571.600708
ARCS_06-2_01,1.61,3.396197,712.2928,2419.08667
ARCS_06-2_02,1.61,3.396197,633.2424,2150.615939
ARCS_06-2_03,1.61,3.396197,537.4988,1825.451812
ARCS_06-2_04,1.61,3.396197,470.5614,1598.119215
ARCS_06-2_05,1.61,3.396197,260.5993,885.0465609
ARCS_06-2_06,1.61,3.396197,283.8679,964.0713104
ARCS_07_,1.61,3.378378378,660.6981,2232.088176
ARCS_07_01,1.61,3.378378378,500.6446,1691.366892
ARCS_07_02,1.61,3.378378378,465.4654,1572.518243
ARCS_07_03,1.61,3.378378378,414.367,1399.888514
ARCS_07_04,1.61,3.378378378,419.6296,1417.667568
ARCS_07_05,1.61,3.378378378,99.72462,336.9075
ARCS_07-2_,1.61,3.396197,628.4011,2134.173931
ARCS_07-2_01,1.61,3.396197,468.8027,1592.146323
ARCS_07-2_02,1.61,3.396197,340,1154.70698
ARCS_07-2_03,1.61,3.396197,225.7543,766.7060764
ARCS_08_,1.61,3.378378378,840.2363,2838.636149
ARCS_08_01,1.61,3.378378378,,0
ARCS_08_02,1.61,3.378378378,573.4222,1937.237162
ARCS_08_03,1.61,3.378378378,555.1234,1875.416892
ARCS_08_04,1.61,3.378378378,510.7455,1725.491554
ARCS_08_05,1.61,3.378378378,,0
ARCS_08_06,1.61,3.378378378,451.4864,1525.291892
ARCS_08_07,1.61,3.378378378,,0
ARCS_08_08,1.61,3.378378378,385.2921,1301.6625
ARCS_08-2_,1.61,3.396197,814.6877,2766.839923
ARCS_08-2_01,1.61,3.396197,716.2597,2432.559044
ARCS_08-2_02,1.61,3.396197,648.0123,2200.777429
ARCS_08-2_03,1.61,3.396197,593.0936,2014.262705
ARCS_08-2_04,1.61,3.396197,524.8581,1782.521505
ARCS_08-2_05,1.61,3.396197,463.2494,1573.286223
ARCS_08-2_06,1.61,3.396197,375.481,1275.207446
ARCS_08-2_07,1.61,3.396197,307.8246,1045.432983
ARCS_08-2_08,1.61,3.396197,294.6795,1000.789634
ARCS_08-2_09,1.61,3.396197,268.0765,910.4406051
ARCS_08-2_10,1.61,3.396197,207,703.832621
ARCS_09_,1.61,3.378378378,,0
ARCS_09_01,1.61,3.378378378,492.0041,1662.176014
ARCS_09_02,1.61,3.378378378,,0
ARCS_09_03,1.61,3.378378378,,0
ARCS_09_04,1.61,3.378378378,384.2408,1298.110811
ARCS_09_05,1.61,3.378378378,,0
ARCS_09-2_,1.61,3.396197,737.4727,2504.602571
ARCS_09-2_01,1.61,3.396197,581.0215,1973.263475
ARCS_09-2_02,1.61,3.396197,399.5059,1356.800739
ARCS_09-2_03,1.61,3.396197,325.3936,1105.100768
ARCS_09-2_04,1.61,3.396197,323.0062,1096.992687
ARCS_09-2_05,1.61,3.396197,271.6166,922.4634821
ARCS_09-2_06,1.61,3.396197,220.0818,747.4411489
ARCS_09-2_07,1.61,3.396197,171.1052,581.1069669
ARCS_10_,1.61,3.378378378,816.0098,2756.789865
ARCS_10_01,1.61,3.378378378,580.4894,1961.112838
ARCS_10_02,1.61,3.378378378,566.8483,1915.028041
ARCS_10_03,1.61,3.378378378,,0
ARCS_10_04,1.61,3.378378378,527.3026,1781.427703
ARCS_10_05,1.61,3.378378378,502.5943,1697.953716
ARCS_10_06,1.61,3.378378378,427.5629,1444.469257
ARCS_10_07,1.61,3.378378378,311.8878,1053.675
ARCS_10_08,1.61,3.378378378,328.3535,1109.302365
ARCS_10_09,1.61,3.378378378,281.0018,949.3304054
ARCS_10_10,1.61,3.378378378,,0
